id,code,name,category,description,eta,status,syarat,body
08tq1aq,SP-PENEBANGAN-POHON,Surat Pengantar Izin Penebangan Pohon,Surat Umum & Lainnya,PENGGANTI Surat Izin Penebangan Pohon (bukan wewenang).,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW|Foto lokasi,
0i6879q,SK_PEDAGANG_PASAR,Surat Keterangan Pedagang Pasar,Usaha & Ekonomi,SIUP mikro.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW|Surat keterangan dari pengelola pasar,
0ta60q1,SK_TANAH_TIDAK_SENGKETA,Surat Keterangan Tidak Sengketa Tanah,Tanah & Properti,Transaksi tanah.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
1cooa9o,SK_BENCANA,Surat Keterangan Dampak Bencana,Pertanian & Lingkungan,Klaim asuransi.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Dokumentasi kejadian (foto/video)|Surat keterangan dari BPBD,
1nmwhru,SK_TKI,Surat Keterangan Calon TKI / PMI,Surat Umum & Lainnya,Syarat BP2MI dan Disnaker.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Paspor|Kontrak kerja (jika ada),
1wupw3u,KK_BARU,Surat Keterangan Kepala Keluarga,Kependudukan,"Akses program bantuan (PKH, BST). Untuk warga yang belum punya KK.",2 hari kerja,Disetujui,Fotokopi KTP semua anggota|Surat pengantar RT/RW|Keteranganhilang dari kepolisian (jika hilang),
2k0c8nq,SURAT_REKOMENDASI,Surat Rekomendasi,Surat Dinas,Rekomendasi keinstansi.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
2uerahj,SP-VERIF-KELAHIRAN,Surat Pengantar Verifikasi Kelahiran,Surat Umum & Lainnya,PENGGANTI Surat Keterangan Kelahiran. Verifikasi data kelahiran di desa.,1 hari kerja,Disetujui,Surat Keterangan Bidan/RS|Fotokopi KTP & KK orang tua,
2xe4083,SK_AKTIF_SEKOLAH,Surat Aktif Sekolah (PIP/KPS),Pendidikan,Pencairan PIP.,1 hari kerja,Disetujui,Fotokopi KTP & KK orang tua|Surat keterangan aktif sekolah,
3d7ij4l,SK_TIDAK_DI_DESA,Surat Keterangan Tidak Berada di Desa,Surat Umum & Lainnya,Alibi.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
42s98ct,SP-KK,Surat Pengantar Pembuatan KK,Kependudukan,Pengganti ELIMINASI KK Sementara.,1 hari kerja,Disetujui,KK lama|Akta nikah/kelahiran (jika perubahan),
436d2ic,SK_BELUM_PUNYA_RUMAH,Surat Keterangan Belum Memiliki Rumah,Tanah & Properti,BSPS.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW|Surat pernyataan tidak punya rumah,
63rowt6,SK_PENGRAJIN,Surat Keterangan Pengrajin / Seniman,Usaha & Ekonomi,Program Ekraf.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW|Portofolio (opsional),
7aa9w8c,SK_KEHILANGAN,Surat Keterangan Kehilangan,Sosial & Ekonomi,Pengantar penggantian dokumen/barang hilang. Wewenang desa. Kebutuhan umum.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat pengantar RT/RW,
7aarf2i,SK_JANDA,Surat Keterangan Status Janda,Pernikahan & Keluarga,DNA DISINGKAT - cukup NIK + Alasan + Tanggal.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat cerai / akta kematian,
7havq5a,SK_KELOMPOK_TANI,Surat Keterangan Kelompok Tani / Nelayan,Pertanian & Lingkungan,Akses program Gapoktan.,1 hari kerja,Disetujui,Fotokopi KTP ketua & anggota|SK Kelompok|Pengantar RT/RW,
7nti02c,SKTM,Surat Keterangan Tidak Mampu (SKTM),Sosial & Ekonomi,"SURAT PALING PENTING. Akses BPJS PBI, beasiswa, bantuan sosial.",1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW|Foto rumah (opsional),
9ld3ygm,SK_ORGANISASI,Surat Keterangan Keaktifan Organisasi,Surat Umum & Lainnya,Administrasi dan kegiatan resmi.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat keterangan organisasi,
bfbnyl6,SK_AHLI_WARIS,Surat Keterangan Ahli Waris,Pernikahan & Keluarga,Klaim tabungan.,2 hari kerja,Disetujui,Akta kematian|KK & KTP ahli waris|Materai 10000,
d5c66v8,SP-BEBAS-NARKOBA,Surat Pengantar Pemeriksaan Bebas Narkoba,Surat Umum & Lainnya,PENGGANTI Surat Pengantar Bebas Narkoba (bukan wewenang).,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat pengantar RT/RW,
dad7b38,SK_HAJI,Surat Keterangan Naik Haji / Umrah,Surat Umum & Lainnya,Kementerian Agama kadang minta.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Paspun (jika ada)|Surat pendaftaran haji (jika ada),
dmfe7i5,SK_PENGGUNAAN_LAHAN,Surat Keterangan Penggunaan Lahan,Pertanian & Lingkungan,Pengajuan perubahan peruntukan.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW|Peta lokasi,
e2xxp65,SK_TIDAK_PUNYA_KERJA,Surat Keterangan Tidak Punya Pekerjaan,Sosial & Ekonomi,Untuk Kartu Prakerja.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat pengantar RT/RW,
e3w1jdw,SP-AKTA-LAHIR,Surat Pengantar Penerbitan Akta Lahir,Surat Umum & Lainnya,PENGGANTI Surat Belum Ada Akta Lahir (bukan wewenang).,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat keterangan tidak ada akta dari Dukcapil,
felsjs2,ALAMAT_SEMENTARA,Surat Keterangan Alamat Sementara,Kependudukan,Untuk warga yang sementara tinggal di luar desanya.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat pengantar RT/RW,
fhcqj61,SP-PENGGALANGAN-DANA,Surat Pengantar Izin Penggalangan Dana,Surat Umum & Lainnya,PENGGANTI Surat Izin Penggalangan Dana (bukan wewenang).,1 hari kerja,Disetujui,Fotokopi KTP & KK|Proposal kegiatan|Rekening tujuan,
fxxtk0h,SK_HAMIL,Surat Keterangan Hamil / Ibu Melahirkan,Kesehatan & Khusus,ANC.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat keterangan bidan/dokter,
h0hgqnd,SP-SKCK,Surat Pengantar SKCK,Sosial & Ekonomi,Paling sering diminta untuk lamaran kerja.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pas foto 4x6 (2 lembar)|Surat pengantar RT/RW,
haddr2a,SP-PENDAFTARAN-TANAH,Surat Pengantar Pendaftaran Tanah,Surat Umum & Lainnya,PENGGANTI Surat Sporadik Tanah (bukan wewenang).,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
hjzrj0j,SK_HUBUNGAN_KELUARGA,Surat Keterangan Hubungan Keluarga,Pernikahan & Keluarga,Klaim asuransi.,1 hari kerja,Disetujui,Fotokopi KTP & KK kedua belah pihak|Surat pengantar RT/RW,
hp9vqk7,SK_PENELITIAN,Surat Keterangan Penelitian / KKN / PKL,Pendidikan,KKN tradisi akademik Indonesia.,2 hari kerja,Disetujui,Proposal kegiatan|Surat pengantar dari kampus,
hrd1gxd,SK_PETERNAK,Surat Keterangan Peternak,Usaha & Ekonomi,Kartu ternak.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
htrwa77,SK_TANAH_WAKAF,Surat Keterangan Tanah Wakaf,Tanah & Properti,Pendaftaran di BWI dan Kanwil Depag.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW|Akta ikrar wakaf (jika ada),
hvnt1x5,SURAT_BANTUAN,Surat Permohonan Bantuan,Surat Dinas,Warga meminta bantuan ke desa.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat pengantar RT/RW,
j5fkicq,SK_RUMAH_MILIK,Surat Keterangan Kepemilikan Rumah,Tanah & Properti,IMB/PBG.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
k0h6ajl,SK_PETANI,Surat Keterangan Petani,Pertanian & Lingkungan,Kartu tani.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
keef43n,SK_DUDA,Surat Keterangan Status Duda,Pernikahan & Keluarga,DNA DISINGKAT - cukup NIK + Alasan + Tanggal.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat cerai / akta kematian,
ko3ytld,SURAT_KUASA,Surat Kuasa,Surat Umum & Lainnya,Instrumen hukum umum. Wewenang cukup.,1 hari kerja,Disetujui,Fotokopi KTP pemberi & penerima kuasa|Materai 10000,
lffymy2,SK_PASPOR,Surat Keterangan untuk Paspor,Surat Umum & Lainnya,Imigrasi kadang minta.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Kartu Keluarga,
mhzen5t,PINDAH_DOMISILI,Surat Keterangan Pindah Domisili,Kependudukan,Wewenang desa. Syarat mutasi kepindahan di Dukcapil dengan form F-1.02.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Form F-1.02 dari Dukcapil|Surat pengantar RT/RW,
nlglh4c,SP-KTP,Surat Pengantar Pembuatan KTP,Kependudukan,Pengantar pembuatan KTP. Wewenang penuh.,1 hari kerja,Disetujui,Fotokopi KK|Pas foto 3x4,
nu2jknz,SP-SANGGAR,Surat Pengantar Pendirian Sanggar / Kursus,Surat Umum & Lainnya,PENGGANTI Surat Izin Mendirikan Sanggar (bukan wewenang).,1 hari kerja,Disetujui,Fotokopi KTP & KK|Proposal kegiatan,
nvg3isq,SP-IZIN-REKLAME,Surat Pengantar Izin Reklame,Surat Umum & Lainnya,PENGGANTI Surat Izin Reklame (bukan wewenang). Surat pengantar ke Dinas Perizinan.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Desain reklame,
o0n80mk,IZIN_KERAMAIAN,Surat Keterangan Izin Keramaian,Usaha & Ekonomi,Keramaian/hajatan.,2 hari kerja,Disetujui,Proposal acara|Pengantar RT/RW|Persetujuan tetangga,
o7t1h3p,SK_KELAKUAN_BAIK,Surat Keterangan Kelakuan Baik,Sosial & Ekonomi,Kebutuhan lamaran kerja/organisasi.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat pengantar RT/RW,
ovsiijh,BEDA_NAMA,Surat Keterangan Beda Nama,Kependudukan,Penyamaan 2 nama berbeda di 2 dokumen.,1 hari kerja,Disetujui,Fotokopi kedua dokumen|Fotokopi KTP & KK|Surat pengantar RT/RW,
p3ia084,DISPENSA_NIKAH,Surat Dispensasi Nikah (Pengantar PA),Pernikahan & Keluarga,Dispensasi nikah di bawah umur. Pengantar ke Pengadilan Agama.,3 hari kerja,Disetujui,Fotokopi KTP & KK kedua calon|Surat pengantar RT/RW|Surat keterangan hamil (jika ada),
pwn2u3h,SK_BELUM_MENIKAH,Surat Keterangan Belum Menikah,Pernikahan & Keluarga,Syarat utama akta nikah KUA.,1 hari kerja,Disetujui,Fotokopi KTP|Fotokopi KK|Materai 10000,
q6he9se,SP-INSTANSI,Surat Pengantar ke Instansi Lain,Surat Dinas,Safety net untuk keperluan yang tidak tercakup surat spesifik.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat pengantar RT/RW,
q9r2ohd,SK_JUAL_BELI_TANAH,Surat Keterangan Jual Beli Tanah,Tanah & Properti,Tahap awal AJB di PPAT. SANGAT umum dibutuhkan.,2 hari kerja,Disetujui,Fotokopi KTP & KK kedua belah pihak|Pengantar RT/RW,
r1o3095,SK_LANSIA,Surat Keterangan Lansia,Kesehatan & Khusus,Bantuan lansia.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
r7cggcd,SK_YATIM_PIATU,Surat Keterangan Anak Yatim / Piatu,Kesehatan & Khusus,Beasiswa yatim.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Akta kematian orang tua,
rbrcrfn,SK_WNI_KETURUNAN,Surat Keterangan WNI Keturunan,Surat Umum & Lainnya,Keperluan kependudukan dan hukum.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Dokumen keturunan (jika ada),
rruw7u2,SKD,Surat Keterangan Domisili,Kependudukan,Surat paling fundamental dan paling banyak dipakai. Wewenang penuh desa. Semua keperluan domisili.,1 hari kerja,Disetujui,Fotokopi KTP|Fotokopi Kartu Keluarga|Surat pengantar RT/RW,
ryg38u0,SKU,Surat Keterangan Usaha (SKU),Usaha & Ekonomi,SURAT PALING PENTING kategori usaha. Syarat NIB.,2 hari kerja,Disetujui,Fotokopi KTP|Foto tempat usaha|Pengantar RT/RW,
rzibhzs,SK-NIKAH,Surat Keterangan Nikah (N-1 s/d N-6),Pernikahan & Keluarga,SATUKAN 6 formulir menjadi 1 template dengan switch N-1 sd N-6.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Akta kelahiran|Pas foto 2x3 & 4x6|Surat pengantar RT/RW,
saunrw5,SP-IMB,Surat Pengantar Izin Bangunan (IMB/PBG),Surat Umum & Lainnya,PENGGANTI Surat Pengantar IMB/PBG (bukan wewenang).,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW|Denah bangunan,
tceu2oa,SK_BEASISWA,Surat Keterangan untuk Beasiswa,Pendidikan,Akses beasiswa.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat keterangan aktif kuliah/sekolah,
u8n72lu,SK_PUTUS_SEKOLAH,Surat Keterangan Putus Sekolah,Pendidikan,Akses program kesetaraan dan pelatihan.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Ijazah terakhir (jika ada),
vf6421b,SK_TANAH_MILIK,Surat Keterangan Kepemilikan Tanah,Tanah & Properti,KETERANGAN BUKAN bukti hukum. Untuk legal -> BPN.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
x44an0v,SK_DISABILITAS,Surat Keterangan Penyandang Disabilitas,Kesehatan & Khusus,Akses program ATENSI.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat keterangan rumah sakit,
xm8xsfl,SK_PENGHASILAN,Surat Keterangan Penghasilan,Sosial & Ekonomi,Untuk KUR (Kredit Usaha Rakyat) dan lainnya.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
xukkj66,WALI_NIKAH,Surat Keterangan Wali Nikah Hakim,Pernikahan & Keluarga,Wali tidak ada/berhalangan. Dasar penunjukan wali hakim.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Surat keterangan tidak ada wali dari RT/RW|Surat keterangan kematian wali (jika ada),
y5386rz,SP-AKTA-KEMATIAN,Surat Pengantar Penerbitan Akta Kematian,Surat Umum & Lainnya,PENGGANTI Surat Keterangan Kematian (bukan wewenang). Surat pengantar ke Dukcapil.,1 hari kerja,Disetujui,Surat Keterangan RS/Bidan|Fotokopi KTP & KK pelapor,
ylmv3td,SPTJM,Surat Pernyataan Tanggung Jawab Mutlak (SPTJM),Surat Umum & Lainnya,Saat dokumen primer tidak ada. WAJIB MATERAI.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Materai 10000,
z4em1ki,PENDATANG,Surat Keterangan Pendatang / Numpang KK,Kependudukan,Wewenang desa. Catat pendatang yang numpang KK. Syarat KK baru.,1 hari kerja,Disetujui,Fotokopi KTP pendatang|KK baru pemilik|Surat pengantar RT/RW,
z6elk1v,SK_NIKAH_NONMUSLIM,Surat Keterangan Nikah Non-Muslim,Pernikahan & Keluarga,Non-muslim yang menikah di Catatan Sipil.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Akta kelahiran|Pas foto 2x3 & 4x6,
zc5ihxt,SP-AKTA-KELAHIRAN,Surat Pengantar Penerbitan Akta Kelahiran,Surat Umum & Lainnya,PENGGANTI Surat Keterangan Kelahiran (bukan wewenang). Surat pengantar ke Dukcapil.,1 hari kerja,Disetujui,Surat Keterangan Bidan/RS|Fotokopi KTP & KK orang tua,
zc9ymp5,SP-PTSL,Surat Pengantar PTSL,Surat Umum & Lainnya,PTSL sering dilakukan BPN.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
zd0tzqd,VERIF-DTKS,Surat Pengantar Verifikasi DTKS,Sosial & Ekonomi,Desa hanya mengecek apakah warga ada di DTKS.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Formulir verifikasi DTKS,
zq4ksjd,SK_NELAYAN,Surat Keterangan Nelayan,Pertanian & Lingkungan,Kartu nelayan.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
zrwnsf2,SK_HIBAH_TANAH,Surat Keterangan Hibah Tanah,Tanah & Properti,Tahap awal proses hibah di PPAT.,2 hari kerja,Disetujui,Fotokopi KTP & KK kedua belah pihak|Pengantar RT/RW,
